First Name,Last Name,Prediction
Danielle,Walker,0
Scott,Cole,0
Louis,Fisher,0
Jerry,Robinson,0
Barbara,Lowe,0
Jose,Vasquez,0
John,Mccormick,0
Craig,Dunn,0
Tammie,Harper,0
Hannah,Thomas,0
Dustin,Roberts,0
Dalton,Jones,0
Donna,Davis,0
Christine,Harris,0
Vincent,Flowers,0
Christopher,Luna,0
Ashley,Cruz,0
Robin,Smith,0
Linda,Park,0
Jessica,Jordan,0
Debra,Eaton,0
Ana,Howell,0
Misty,Rivera,0
Hannah,Knight,0
Ryan,Cook,0
Ann,Lawson,0
Christopher,Farrell,0
Mark,Wood,0
Vicki,Mendoza,0
Vincent,Waller,1
Jacqueline,Marsh,0
Greg,Villarreal,0
Christopher,Cummings,0
Sara,Harris,0
Michael,Garner,0
Daniel,Escobar,0
Tammy,Davis,0
Brianna,Page,0
Adam,Riddle,0
William,Marshall,0
Shannon,Bell,0
Christopher,Gomez,0
Lori,Rodriguez,0
Justin,Bell,0
Valerie,Clark,0
Robert,Ashley,0
Billy,Gallagher,0
Sara,Ramirez,0
Kristen,Allen,0
John,Nichols,0
Ellen,Smith,0
Kelsey,Richards,0
Cristian,Jones,0
Jenna,Brooks,0
Margaret,Lam,0
Matthew,Myers,0
Crystal,Fuller,0
Christian,Johns,0
Steven,Arnold,0
Kenneth,Doyle,0
Kevin,Elliott,0
Joseph,Davis,0
Diana,Jacobs,0
Greg,Villarreal,0
Alicia,Bishop,0
Maureen,Garza,0
Samuel,Jenkins,0
Benjamin,Robinson,0
Melinda,Gutierrez,0
Ryan,Joseph,0
Debbie,Hughes,0
Dustin,Roberts,0
Charles,Moreno,0
Martin,Ford,0
Shawn,King,0
Alicia,Bishop,0
Tyler,Mills,0
Kimberly,Gonzalez,0
Samuel,Johnston,0
Thomas,Gibson,0
Stephanie,Gill,0
William,Hunter,0
Lori,Ramirez,0
Rebecca,Conley,0
Nathan,Massey,0
Shelby,Mitchell,0
Christopher,Carr,0
James,Baldwin,0
Scott,Edwards,0
Amber,Lewis,0
Mary,Pruitt,0
Sherry,Martinez,0
Samuel,Sandoval,0
Nathan,Mendoza,0
Cristian,Jones,0
Stephanie,Gill,0
David,Serrano,0
Greg,Villarreal,0
Kristina,Lewis,0
Robert,Andrade,0
Benjamin,Robinson,0
Christine,Best,0
John,Nichols,0
Amber,Perez,0
Kyle,Park,0
Rebecca,Butler,0
Maria,Roy,0
Stephen,Marshall,0
Juan,Henry,0
Jim,Johnson,0
Stephanie,Hopkins,0
Sarah,Cross,0
Alicia,Morales,0
Samuel,Farrell,0
Beth,Lambert,0
Francisco,Kemp,0
Lisa,Collins,0
David,Serrano,0
Sabrina,Johnson,0
Sabrina,Johnson,0
Edward,Tapia,0
Thomas,Jenkins,0
Debbie,Hughes,0
David,Cole,0
Tyler,Wright,0
Kelly,Zimmerman,0
Gina,Morrison,0
George,Smith,0
David,Rodriguez,0
Brooke,Smith,0
Pamela,Curtis,0
Linda,Sanchez,0
Cheryl,Morgan,0
Christopher,Luna,0
Samuel,Johnston,0
Ashley,Blanchard,0
Maureen,Garza,0
Morgan,Murray,0
Michael,Johnson,0
Jason,Farmer,0
Michael,Gross,0
Michael,Johnson,0
Brandy,Quinn,0
Valerie,Clark,0
Thomas,Hale,0
Kyle,James,0
Timothy,Simmons,0
Scott,Martin,0
Christopher,Patterson,0
Barbara,Lowe,0
Erin,Chavez,0
Kathleen,Nash,0
Vincent,Mueller,0
Rachel,Daniels,1
Valerie,Clark,0
Matthew,Russell,0
Pamela,Curtis,0
William,Skinner,0
Robert,Long,0
Stephanie,Middleton,0
Robert,Holland,0
Bradley,Anderson,0
Michael,Vargas,0
Lori,Ramirez,0
Christine,Leblanc,0
Tara,Richards,0
Crystal,Gamble,0
Robert,Nguyen,0
Whitney,Gallagher,0
Tara,Richards,0
Dawn,Tucker,0
Shawn,King,0
Steven,Arnold,0
Michelle,Gregory,0
Jennifer,Black,0
Steven,Sanders,0
Angela,White,0
Catherine,Weber,0
Robert,Ashley,0
Daniel,Briggs,0
Sharon,Johnson,0
Danielle,Yu,0
Jack,Hill,0
Adam,Santos,0
Tanner,Carroll,0
Alan,Colon,0
Tanner,Carroll,0
Jerry,Kelly,0
Laura,Johns,0
Julian,Price,0
Victoria,Fleming,0
Daniel,Melton,0
Tamara,Martinez,0
Jessica,Dominguez,0
Steven,Walters,0
Jennifer,Vance,0
Joseph,Spencer,0
Megan,Bernard,0
Destiny,Lowe,0
Kayla,Jones,0
Mary,Juarez,0
Vicki,Mendoza,0
Joshua,Carpenter,0
Patricia,Mendoza,0
Joseph,Wagner,0
James,Yoder,0
Phillip,Robertson,0
Dawn,Gray,0
Monica,Tucker,0
Kimberly,Martin,0
Michael,Johnson,0
Matthew,Lambert,0
John,Clarke,0
Allison,Allen,0
Lisa,Lowe,0
Amber,Lewis,0
Melissa,Krause,0
Jennifer,Scott,0
Dawn,Gray,0
Jerry,Robinson,0
Craig,Franco,0
Dawn,Tucker,0
Dawn,Stephens,0
Sophia,Dickson,0
Christopher,Sheppard,0
Robert,Evans,0
Steven,Yoder,0
Joshua,Cohen,0
Tamara,Martinez,0
Scott,Martin,0
Janet,Turner,0
Tina,Alvarez,0
Stacy,Lambert,0
Jeffrey,Rice,0
Scott,Fuller,0
Jamie,Olson,0
Alan,Parsons,0
Sarah,Foster,0
Melissa,Phillips,0
Jennifer,Banks,0
Danielle,Evans,0
Jeffrey,Smith,0
Emily,Hall,0
Amanda,Molina,0
Teresa,Clark,0
Lauren,Moreno,0
David,Rodriguez,0
Lisa,Lin,0
Joseph,Spencer,0
Dawn,Tucker,0
Melissa,Mcclure,0
Donald,Evans,0
Christopher,Gomez,0
Stephanie,Gill,0
Mary,Wall,0
Adam,Riddle,0
Jackie,Davis,0
Dawn,Gray,0
Joe,Howard,0
Mark,Tyler,0
Monica,Tucker,0
Mario,Johns,0
James,Bishop,0
Michael,Flores,0
Christopher,Farrell,0
Robert,Jordan,0
James,Cooper,0
Renee,Walls,0
Mary,Pruitt,0
Morgan,Smith,0
Paula,Estrada,0
Daniel,Boyd,0
Walter,Blair,0
Ashley,Robinson,0
Lauren,Williams,0
Alicia,Miller,0
Mary,Pruitt,0
Samuel,Johnston,0
Gerald,Anthony,0
Susan,Shah,0
Margaret,Mendez,0
Linda,Davis,0
David,Rodriguez,0
Jennifer,Vance,0
Megan,Murphy,0
Theresa,Powell,0
Sara,Ramirez,0
Lisa,Lowe,0
Amber,Thornton,0
Shannon,Patterson,0
Joshua,Cohen,0
Roberta,Mccarthy,0
Cassandra,Sanders,0
Diana,Jacobs,0
Samuel,Frey,0
Ana,Howell,0
Brittany,Cox,0
Cristian,Jones,0
Nicholas,Mcmahon,0
Lindsay,Wilson,0
Erin,Chavez,0
Samuel,Sandoval,0
Cody,Miller,0
Roberta,Mccarthy,0
Jeffrey,Powers,0
Michael,Garner,0
Kenneth,Edwards,0
Joanna,Hudson,0
Tyler,Mills,0
Cristian,Jones,0
Randall,Dillon,0
Andrew,Patterson,0
Scott,Martin,0
Brianna,Foley,0
Misty,Rivera,0
Bill,Lane,0
Jennifer,Vance,0
Rita,Myers,0
Natasha,Mclaughlin,0
Cheryl,Melton,0
Scott,Cole,0
Margaret,Gibson,0
Gina,Gomez,0
Adam,Kirk,0
Cassandra,Sanders,0
Jill,Flores,0
James,Yoder,0
Lisa,Garcia,0
Rachel,Daniels,0
Connor,Grant,0
Sara,Ramirez,0
Erin,Chavez,0
Michael,Orozco,0
Patrick,Vaughan,0
Lawrence,Ellis,0
Joseph,Moody,0
Laura,Johns,0
Robert,Ashley,0
Brooke,Smith,0
Amanda,Williams,0
Jacqueline,Howard,0
Gregory,Graham,0
James,Leon,0
Jeffrey,Lewis,0
Lisa,Lin,0
Shelby,Cannon,0
Joe,Howard,0
Jason,Murphy,0
Joanne,Williams,0
Jenna,Brooks,0
John,Peters,0
Emily,Hall,0
Greg,Villarreal,0
Erica,Briggs,0
Mackenzie,Salazar,0
Linda,Davis,0
Maureen,Garza,0
Ryan,Joseph,0
Jack,Hill,0
Lisa,Lowe,0
Jacqueline,Washington,0
Sarah,Clark,0
Lauren,Torres,0
Mark,Wood,0
Jamie,Olson,0
James,Baldwin,0
Nathan,Mendoza,0
Alan,Parsons,0
Alicia,Morales,0
Ellen,Smith,0
Sarah,Clark,0
Joseph,Gonzalez,0
Margaret,Lam,0
Erik,Stevens,0
Christopher,Gregory,0
Carlos,Chung,0
Nicholas,Tran,0
Kenneth,Doyle,0
Debbie,Hughes,0
Krystal,Key,0
John,Nichols,0
Sabrina,Johnson,0
Melanie,Jimenez,0
Shannon,Bell,0
Amanda,Gomez,0
Mary,Humphrey,0
Christopher,Odom,0
Jason,Hernandez,0
Frank,Foster,0
Jamie,Carr,0
Cheryl,Melton,0
Jeff,Elliott,0
Joshua,Mendoza,0
Chris,White,0
Zachary,Allen,0
Michael,Williams,0
Charles,Moreno,0
William,Cannon,0
Sharon,Johnson,0
Jacob,Weber,0
Bryan,Miller,0
John,Mccormick,0
Brittany,Cox,0
Margaret,Ward,0
Bill,Lane,0
Ana,Howell,0
Crystal,Gamble,0
Jennifer,Spencer,0
Matthew,Lambert,0
Carrie,Washington,0
Micheal,Hernandez,0
Angela,Hodges,0
Corey,Jones,0
Kylie,Kirby,0
Amanda,Vance,0
Michelle,Woods,0
Jessica,Garcia,0
Judith,Moss,0
Jennifer,Bishop,0
Christopher,Gomez,0
Ashley,Whitney,0
Thomas,Hale,0
Lisa,Lin,0
Jacqueline,Curry,0
Tara,Richards,0
Christina,Moore,0
Connor,Grant,0
Richard,Vance,0
Gail,Weaver,0
Rachel,Daniels,0
Jodi,Foster,0
Michael,Orozco,0
Jessica,Benitez,0
Christine,Leblanc,0
John,Davis,0
Robert,Haynes,0
Andrew,Mcgee,0
Brenda,Johnson,0
Kathryn,Smith,0
Joe,Howard,0
Ashley,Whitney,0
Mary,Wall,0
Patricia,Gonzalez,0
Kenneth,Doyle,0
Christopher,Holt,0
Kurt,Peters,0
Adam,Santos,0
Mackenzie,Salazar,0
Samuel,Johnston,0
Melissa,Meza,0
Christian,Johns,0
Jason,Hernandez,0
Theresa,Blackwell,0
Debra,Becker,0
Lisa,Clark,0
Lisa,Lin,0
Chris,White,0
Kimberly,Martin,0
Joseph,Davis,0
Robert,Haynes,0
Christopher,Horn,0
Robert,Drake,0
Carrie,Washington,0
Francisco,Kemp,0
Maureen,Garza,0
Jeffery,Sanders,0
Amber,Thornton,0
David,Everett,0
Erica,Walker,0
Edward,Sanchez,0
Lori,Ramirez,0
Greg,Villarreal,0
Lori,Ramirez,0
William,Thompson,0
Julie,Sanchez,0
Monica,West,0
Alan,Taylor,0
Ashley,Whitney,0
Christina,Nelson,0
Jeffery,Sanders,0
Ashley,Lopez,0
Jacqueline,Howard,0
Robert,James,0
Matthew,Huerta,0
Kimberly,Gonzalez,0
Timothy,Gomez,0
Debbie,Hughes,0
Alice,Kemp,0
Tanya,Williams,0
Christine,Harris,0
Carol,Dillon,0
Chris,White,0
Stanley,Dickson,0
Sherry,Martinez,0
Gary,Martinez,0
Randy,Murphy,0
Alicia,Hawkins,0
Vanessa,Anderson,0
Mackenzie,Salazar,0
Teresa,Clark,0
Ryan,Cook,0
Patrick,Torres,0
Stephanie,Gill,0
Benjamin,Harris,0
Stephen,Marshall,0
Dawn,Gray,0
Sharon,Johnson,0
Steven,Arnold,0
Steven,Sanders,0
Kristina,Stewart,0
Stephen,Marshall,0
Andrew,Tucker,0
William,Lopez,0
Richard,Vance,0
Jack,Hill,0
Andrew,Tucker,0
Adam,Santos,0
Rebecca,Butler,0
Sherry,Martinez,0
Brandy,Quinn,0
Nathan,Mayer,0
Andrew,Patterson,0
Valerie,Davis,0
Jessica,Perez,0
Kristina,Lewis,0
Kathleen,Nash,0
Christopher,Miller,0
Maureen,Garza,0
Michelle,Beck,0
Tanner,Carroll,0
Christopher,Grimes,0
Daniel,Boyd,0
Kathleen,Martin,0
Brenda,Perez,0
Tanner,Carroll,0
Allison,Allen,0
Joanne,Williams,0
David,Lewis,0
David,Wolfe,0
Kathryn,Smith,0
Timothy,Gomez,0
Barbara,Nelson,0
Ana,Howell,0
Christian,Roman,0
Randall,Dillon,0
Sarah,Adams,0
Jessica,Shaw,0
Juan,Henry,0
Stacy,Walsh,0
Mary,Pruitt,0
Renee,Parrish,0
Charles,Carrillo,0
Joel,Rivera,0
Francisco,Kemp,0
Joshua,Carpenter,0
James,Strickland,0
Morgan,Murray,0
Lisa,Lowe,0
Jose,Vasquez,0
Meredith,Campbell,0
Paula,Estrada,0
Matthew,Young,0
Hayden,Sanders,0
Christopher,Choi,0
Jeffrey,Smith,0
Gary,Barnes,0
Robert,Goodman,0
Katherine,Love,0
Jessica,Dominguez,0
Erica,Briggs,0
James,Stephens,0
Brianna,Page,0
William,Jenkins,0
Amber,Lewis,0
Mary,Pruitt,0
Thomas,Hale,0
Jeffrey,Smith,0
David,White,0
Scott,Martin,0
Monique,Robinson,0
Jenna,Brooks,0
Cheryl,Melton,0
Daniel,Graham,0
Erica,Briggs,0
Lori,Ramirez,0
George,Smith,0
Michelle,Rodriguez,0
Allison,Allen,0
Cynthia,Davis,0
Kimberly,Rice,0
Bryan,Torres,0
Kelsey,Richards,0
William,Skinner,0
Joshua,Carpenter,0
Steven,Yoder,0
Christopher,Holt,0
Randy,Wood,0
Laura,Johns,0
Teresa,Stein,0
Warren,Daniels,0
Nathan,Martinez,0
John,Clarke,0
Amanda,Gomez,0
Robert,Flores,0
Jodi,Rodriguez,0
Aaron,Murray,0
Tina,Alvarez,0
Lauren,Torres,0
Angela,West,0
Michelle,Rodriguez,0
Tyler,Wright,0
Joshua,Mendoza,0
Mackenzie,Salazar,0
Kristen,Hanson,0
Justin,Gay,0
Nathan,Massey,0
Mary,Pruitt,0
Michelle,Russell,0
Richard,Carter,0
Kristina,Stewart,0
Crystal,Gamble,0
Natasha,Mclaughlin,0
Ruth,Fuller,0
Lauren,Anderson,0
Andrew,Patterson,0
Lawrence,Davis,0
Matthew,Lambert,0
Amanda,Smith,0
Stanley,Mayo,0
Sarah,Clark,0
Jackie,Davis,0
Dawn,Tucker,0
Jeffrey,Powers,0
Scott,Sullivan,0
Zachary,Allen,0
Curtis,Young,0
Christopher,Grimes,0
Tyler,Garcia,0
Kathleen,Martin,0
Christina,Rose,0
Benjamin,Kim,0
Kyle,Simmons,0
John,Williams,0
Kristen,Allen,0
Micheal,Walters,0
Jacqueline,Prince,0
Francisco,Kemp,0
David,Cole,0
Megan,Murphy,0
Carl,Hernandez,0
Jared,Camacho,0
Peter,Caldwell,0
Derrick,George,0
Michael,Vargas,0
Shannon,Williams,0
Mary,Schmidt,0
Cristian,Jones,0
Michael,Rowe,0
Kelsey,Richards,0
Brent,Terrell,0
John,Robertson,0
Charles,Moreno,0
Carl,Hernandez,0
Micheal,Hernandez,0
Lisa,Fitzpatrick,0
Laura,Johns,0
Lance,Wagner,0
Michael,Johnson,0
David,Lewis,0
Stacy,Lambert,0
Melissa,Mcclure,0
Billy,Gallagher,0
Jasmine,Wade,0
David,Serrano,0
Kimberly,Miller,0
Allison,Allen,0
Eric,Patel,0
James,Cooper,0
Kimberly,Rice,0
John,Chandler,0
Daniel,Briggs,0
Brian,Perez,0
Ana,Howell,0
Mary,Wall,0
Amanda,Jones,0
Stacy,Lambert,0
Dawn,Cox,0
Lauren,Torres,0
Rebecca,Farley,0
Jennifer,Spencer,0
Michael,Rowe,0
Louis,Fisher,0
Larry,Vaughan,0
Joe,Howard,0
Robert,Holland,0
Brian,Simpson,0
Robert,Sanchez,0
Michael,Fisher,0
Sharon,Johnson,0
Sara,Ramirez,0
Briana,Santos,0
Helen,Campbell,0
Jackie,Davis,0
Benjamin,Robinson,0
Gina,Gomez,0
Michael,Johnson,0
Mary,Myers,0
Christian,Roman,0
Tracy,Conway,0
Claire,Davis,0
Joseph,Murray,0
Sara,Ramirez,0
Ana,Mccormick,0
Randy,Wood,0
Kayla,Sutton,0
Tanner,Carroll,0
Ronald,White,0
Jeffrey,Powers,0
Vincent,Waller,0
Kathy,Hughes,0
Robert,Haynes,0
Marcia,Molina,0
Christopher,Johnson,0
Melody,Thompson,0
Michael,Williams,0
Brooke,Smith,0
Jacob,Weber,0
Christopher,Castaneda,0
Kayla,Sutton,0
Mary,Mcintyre,0
Kimberly,Gonzalez,0
Christian,Johns,0
Sharon,Smith,0
Linda,Davis,0
Gina,Grimes,0
David,White,0
Andrea,Cruz,0
Sarah,Bishop,0
Helen,Campbell,0
Sarah,Bishop,0
Leslie,Ford,0
John,Miller,0
Peter,Caldwell,0
Jared,Walters,0
Jeffrey,Munoz,0
Jeffrey,White,0
Megan,Bernard,0
Angela,West,0
Scott,Martin,0
Donna,Davis,0
Diane,Jackson,0
Allison,Allen,0
Crystal,Fuller,0
Mary,Humphrey,0
Taylor,Khan,0
Charles,Rodriguez,0
Randall,Burgess,0
Audrey,Hickman,0
Sabrina,Johnson,0
Xavier,Beltran,0
Wesley,Parker,1
Richard,Waters,0
Samuel,Jenkins,0
Randy,Wood,0
Christopher,Luna,0
Alan,Taylor,0
Mary,Juarez,0
Linda,Davis,0
Omar,Gay,0
Keith,Sanders,0
Christopher,Patterson,0
Megan,Bernard,0
Samuel,Farrell,0
Matthew,Young,0
Jessica,Ward,0
Ian,Patton,0
Xavier,Beltran,0
Megan,Bernard,0
Jonathan,Castro,0
Breanna,Rodriguez,0
